Date,Unleaded pump (inc VAT),Unleaded pump (exc VAT),Unleaded delivered wholesale,Diesel pump (inc VAT),Diesel pump (exc VAT),Diesel delivered wholesale
2-Jan-2013,131.94,109.95,105.98,139.93,116.61,111.51
15-Jan-2013,132.54,110.45,106.44,140.1,116.75,112.71
1-Feb-2013,134.42,112.02,111.95,141.67,118.06,116.07
15-Feb-2013,137.26,114.38,113.92,144.16,120.13,117.01
1-Mar-2013,139.78,116.48,111.09,146.25,121.88,115.32
15-Mar-2013,138.74,115.62,111.75,145.54,121.28,114.43
2-Apr-2013,137.84,114.87,111.91,143.57,119.64,115.1
1-May-2013,134.79,112.33,104.68,139.27,116.06,107.93
15-May-2013,133.28,111.07,107.36,138.09,115.08,109.94
3-Jun-2013,134.35,111.96,107.94,139.01,115.84,110.04
17-Jun-2013,134.54,112.12,107.61,139.14,115.95,111.2
1-Jul-2013,133.69,111.41,107.6,138.39,115.33,111.41
15-Jul-2013,135.49,112.91,112.44,140,116.67,113.81
1-Aug-2013,137.22,114.35,112.2,141.52,117.93,114.4
15-Aug-2013,137.31,114.43,110.37,141.66,118.05,113.6
2-Sep-2013,137.73,114.78,110.87,142.02,118.35,114.77
16-Sep-2013,137.81,114.84,105.74,142.47,118.73,112.77
1-Oct-2013,133.92,111.6,103.61,140.27,116.89,110.03
15-Oct-2013,132.16,110.13,105.57,139.12,115.93,111.92
1-Nov-2013,130.97,109.14,103.22,138.23,115.19,110.51
15-Nov-2013,130.34,108.62,104.52,137.7,114.75,109.77
2-Dec-2013,130.72,108.93,104,138.01,115.01,110.52
16-Dec-2013,131.1,109.25,103.72,138.52,115.43,110.5
2-Jan-2014,130.79,108.99,103.81,138.24,115.2,109.29
17-Feb-2014,129.55,107.96,103.88,136.91,114.09,108.62
3-Mar-2014,129.83,108.19,104.17,137.12,114.27,109.39
17-Mar-2014,129.38,107.82,103.55,136.48,113.73,107.03
1-Apr-2014,129.51,107.93,104.9,136.22,113.52,107.96
15-Apr-2014,129.74,108.12,106.03,136.26,113.55,108.54
1-May-2014,130.22,108.52,104.7,136.41,113.68,106.75
16-May-2014,130.1,108.42,105.26,136.25,113.54,107.43
2-Jun-2014,130.2,108.5,105.34,136.22,113.52,106.18
16-Jun-2014,130.31,108.59,106.14,135.58,112.98,107.45
1-Jul-2014,131.52,109.6,106.22,136.25,113.54,106.77
15-Jul-2014,131.23,109.36,103.6,135.8,113.17,104.83
1-Aug-2014,130.5,108.75,102.3,134.87,112.39,106.14
15-Aug-2014,129.76,108.13,102.66,134,111.67,105.75
1-Sep-2014,128.72,107.27,103.32,133.02,110.85,105.64
15-Sep-2014,129.18,107.65,102.73,133.29,111.08,105.16
1-Oct-2014,128.49,107.08,102.13,132.81,110.68,104.32
15-Oct-2014,126.93,105.78,96.52,131.08,109.23,101.24
3-Nov-2014,123.77,103.14,96.77,128.06,106.72,102.16
17-Nov-2014,122.86,102.38,96.38,127.27,106.06,100.02
1-Dec-2014,121.45,101.21,91.54,125.99,104.99,96.87
15-Dec-2014,116.9,97.42,87.12,122.33,101.94,92.46
2-Jan-2015,112.08,93.4,85.03,118.74,98.95,90.16
16-Jan-2015,107.46,89.55,83.68,114.81,95.68,88.39
2-Feb-2015,106.39,88.66,86.71,113.42,94.52,90.44
16-Feb-2015,108.12,90.1,88.82,114.76,95.63,93.93
2-Mar-2015,109.95,91.63,89.97,116.65,97.21,93.38
16-Mar-2015,111.78,93.15,89.54,118.05,98.38,90.84
1-Apr-2015,113.06,94.22,91.62,118.73,98.94,92.14
17-Apr-2015,113.49,94.58,93.95,118.92,99.1,94.14
1-May-2015,115.14,95.95,94.7,119.8,99.83,94.74
15-May-2015,116.32,96.93,93.3,120.58,100.48,94.15
1-Jun-2015,116.66,97.22,95.13,120.84,100.7,94.35
15-Jun-2015,117.13,97.61,95.53,120.88,100.73,92.87
1-Jul-2015,117.05,97.54,94.36,120.63,100.53,92.66
16-Jul-2015,117.24,97.7,92.6,118.98,99.15,89.93
3-Aug-2015,116.38,96.98,91.4,115.24,96.03,87.27
17-Aug-2015,114.73,95.61,88.88,111.65,93.04,87.52
1-Sep-2015,111.7,93.08,86.77,109.86,91.55,88.44
15-Sep-2015,111.16,92.63,85.33,110.41,92.01,86.79
1-Oct-2015,109.45,91.21,85.44,110.26,91.88,87.92
15-Oct-2015,109.27,91.06,84.17,110.77,92.31,86.11
2-Nov-2015,107.67,89.73,85.31,109.77,91.48,86.74
16-Nov-2015,107.98,89.98,82.99,110.11,91.76,84.98
