rank,code,country,value,year
1,USA,United States,3.23839E+13,2026
2,CHN,China,2.08516E+13,2026
3,DEU,Germany,5.45286E+12,2026
4,JPN,Japan,4.37925E+12,2026
5,GBR,United Kingdom,4.26479E+12,2026
6,IND,India,4.15319E+12,2026
7,FRA,France,3.59609E+12,2026
8,ITA,Italy,2.73816E+12,2026
9,RUS,Russian Federation,2.65645E+12,2026
10,BRA,Brazil,2.63591E+12,2026
11,CAN,Canada,2.50734E+12,2026
12,AUS,Australia,2.12396E+12,2026
13,MEX,Mexico,2.12086E+12,2026
14,ESP,Spain,2.09122E+12,2026
15,KOR,"Korea, Rep.",1.93101E+12,2026
16,TUR,Turkiye,1.64022E+12,2026
17,IDN,Indonesia,1.53987E+12,2026
18,NLD,Netherlands,1.4497E+12,2026
19,SAU,Saudi Arabia,1.38868E+12,2026
20,CHE,Switzerland,1.14691E+12,2026
21,POL,Poland,1.13425E+12,2026
22,IRL,Ireland,7.79381E+11,2026
23,BEL,Belgium,7.7673E+11,2026
24,SWE,Sweden,7.60481E+11,2026
25,ISR,Israel,7.19848E+11,2026
26,ARG,Argentina,6.88378E+11,2026
27,SGP,Singapore,6.59572E+11,2026
28,AUT,Austria,6.23719E+11,2026
29,ARE,United Arab Emirates,6.21546E+11,2026
30,NOR,Norway,5.99406E+11,2026
31,THA,Thailand,5.79996E+11,2026
32,COL,Colombia,5.3953E+11,2026
33,VNM,Viet Nam,5.27266E+11,2026
34,MYS,Malaysia,5.16428E+11,2026
35,PHL,Philippines,5.12222E+11,2026
36,BGD,Bangladesh,5.10705E+11,2026
37,DNK,Denmark,5.03772E+11,2026
38,ROU,Romania,4.80834E+11,2026
39,ZAF,South Africa,4.79964E+11,2026
40,HKG,"Hong Kong SAR, China",4.50138E+11,2026
41,CZE,Czechia,4.32597E+11,2026
42,EGY,"Egypt, Arab Rep.",4.29645E+11,2026
43,CHL,Chile,4.0785E+11,2026
44,PAK,Pakistan,4.07786E+11,2025
45,PER,Peru,3.809E+11,2026
46,PRT,Portugal,3.80637E+11,2026
47,NGA,Nigeria,3.77365E+11,2026
48,KAZ,Kazakhstan,3.60456E+11,2026
49,FIN,Finland,3.37669E+11,2026
50,DZA,Algeria,3.17173E+11,2026
51,GRC,Greece,3.07554E+11,2026
52,IRN,"Iran, Islamic Rep.",3.00293E+11,2026
53,NZL,New Zealand,2.78636E+11,2026
54,HUN,Hungary,2.71122E+11,2026
55,IRQ,Iraq,2.64784E+11,2026
56,UKR,Ukraine,2.25337E+11,2026
57,QAT,Qatar,2.17416E+11,2026
58,MAR,Morocco,1.94333E+11,2026
59,UZB,Uzbekistan,1.81502E+11,2026
60,KWT,Kuwait,1.7292E+11,2026
61,SVK,Slovak Republic,1.68897E+11,2026
62,AGO,Angola,1.52354E+11,2026
63,BGR,Bulgaria,1.48121E+11,2026
64,KEN,Kenya,1.47265E+11,2026
65,ECU,Ecuador,1.38194E+11,2026
66,DOM,Dominican Republic,1.36148E+11,2026
67,PRI,Puerto Rico (US),1.29012E+11,2026
68,GTM,Guatemala,1.28886E+11,2026
69,COD,"Congo, Dem. Rep.",1.23406E+11,2026
70,ETH,Ethiopia,1.21527E+11,2026
71,GHA,Ghana,1.18293E+11,2026
72,OMN,Oman,1.17176E+11,2026
73,HRV,Croatia,1.16574E+11,2026
74,CIV,Cote d'Ivoire,1.12115E+11,2026
75,SRB,Serbia,1.12025E+11,2026
76,VEN,"Venezuela, RB",1.11303E+11,2026
77,LUX,Luxembourg,1.10417E+11,2026
78,CRI,Costa Rica,1.09931E+11,2026
79,LTU,Lithuania,1.05907E+11,2026
80,BLR,Belarus,1.02042E+11,2026
81,LKA,Sri Lanka,98964000000,2024
82,URY,Uruguay,96092000000,2026
83,PAN,Panama,95024000000,2026
84,TZA,Tanzania,94889000000,2026
85,SVN,Slovenia,86732000000,2026
86,MMR,Myanmar,83832000000,2026
87,TKM,Turkmenistan,83065000000,2026
88,BOL,Bolivia,80743000000,2026
89,AZE,Azerbaijan,78372000000,2026
90,UGA,Uganda,73370000000,2026
91,CMR,Cameroon,65135000000,2026
92,JOR,Jordan,64909000000,2026
93,TUN,Tunisia,60745000000,2026
94,PRY,Paraguay,60542000000,2026
95,ZWE,Zimbabwe,56713000000,2026
96,MAC,"Macao SAR, China",54228000000,2026
97,LVA,Latvia,53686000000,2026
98,LBY,Libya,52453000000,2026
99,KHM,Cambodia,52379000000,2026
100,EST,Estonia,51634000000,2026
101,BHR,Bahrain,48849000000,2026
102,NPL,Nepal,45844000000,2026
