Tour,Start Date,End Date,Album,Song
Fearless Tour,4/23/2009,7/10/2010,Taylor Swift,Our Song
Fearless Tour,4/23/2009,7/10/2010,Taylor Swift,Teardrops on My Guitar
Fearless Tour,4/23/2009,7/10/2010,Taylor Swift,Tim McGraw
Fearless Tour,4/23/2009,7/10/2010,Taylor Swift,Picture to Burn
Fearless Tour,4/23/2009,7/10/2010,Taylor Swift,I'm Only Me When I'm with You
Fearless Tour,4/23/2009,7/10/2010,Taylor Swift,Should've Said No
Fearless Tour,4/23/2009,7/10/2010,Fearless,Fearless
Fearless Tour,4/23/2009,7/10/2010,Fearless,Forever & Always
Fearless Tour,4/23/2009,7/10/2010,Fearless,Hey Stephen
Fearless Tour,4/23/2009,7/10/2010,Fearless,Fifteen
Fearless Tour,4/23/2009,7/10/2010,Fearless,White Horse
Fearless Tour,4/23/2009,7/10/2010,Fearless,Love Story
Fearless Tour,4/23/2009,7/10/2010,Fearless,The Way I Loved You
Fearless Tour,4/23/2009,7/10/2010,Fearless,You're Not Sorry
Fearless Tour,4/23/2009,7/10/2010,Fearless,Change
Fearless Tour,4/23/2009,7/10/2010,Fearless,You Belong with Me
Fearless Tour,4/23/2009,7/10/2010,Fearless,Tell Me Why
Speak Now Tour,2/9/2011,3/18/2012,Taylor Swift,Our Song
Speak Now Tour,2/9/2011,3/18/2012,Fearless,Fearless
Speak Now Tour,2/9/2011,3/18/2012,Fearless,You Belong with Me
Speak Now Tour,2/9/2011,3/18/2012,Fearless,Fifteen
Speak Now Tour,2/9/2011,3/18/2012,Fearless,Love Story
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Sparks Fly
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Mine
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,The Story of Us
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Mean
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Back to December
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Better than Revenge
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Speak Now
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Last Kiss
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Dear John
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Enchanted
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Haunted
Speak Now Tour,2/9/2011,3/18/2012,Speak Now,Long Live
The Red Tour,2/9/2011,3/18/2012,Fearless,You Belong with Me
The Red Tour,3/13/2013,6/12/2014,Fearless,Love Story
The Red Tour,3/13/2013,6/12/2014,Speak Now,Mean
The Red Tour,3/13/2013,6/12/2014,Speak Now,Sparks Fly
The Red Tour,3/13/2013,6/12/2014,Red,State of Grace
The Red Tour,3/13/2013,6/12/2014,Red,Holy Ground
The Red Tour,3/13/2013,6/12/2014,Red,Red
The Red Tour,3/13/2013,6/12/2014,Red,The Lucky One
The Red Tour,3/13/2013,6/12/2014,Red,Stay Stay Stay
The Red Tour,3/13/2013,6/12/2014,Red,22
The Red Tour,3/13/2013,6/12/2014,Red,I Almost Do
The Red Tour,3/13/2013,6/12/2014,Red,Everything Has Changed
The Red Tour,3/13/2013,6/12/2014,Red,Begin Again
The Red Tour,3/13/2013,6/12/2014,Red,I Knew You Were Trouble
