Title,Year,Console,Sales (Units),Gross (est.)
Super Mario Bros.,1985,All Consoles,"65,915,000","$3,399,300,000 "
Super Mario Bros.,1985,NES,"40,240,000","$1,700,000,000 "
Super Mario Bros.,1986,G&W,"1,260,000","$49,300,000 "
VS. Super Mario Bros. / VS. Mario's Adventure,1986,Arcade,"25,000","$270,000,000 "
Super Mario All-Stars,1993,SNES,"10,550,000","$900,000,000 "
Super Mario Bros. DX,1999,GBC,"5,070,000","$150,000,000 "
Classic NES Series: Super Mario Bros.,2004,GBA,"2,270,000","$37,000,000 "
Super Mario Bros.,2006,Wii (VC),"660,000","$3,000,000 "
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,"2,240,000","$70,000,000 "
NES Classic Edition,2016,NES,"3,600,000","$220,000,000 "
Super Mario Bros. 2,1986,All Consoles,"37,505,456","$2,017,000,000 "
Super Mario Bros. 2 / The Lost Levels,1986,FDS,"2,650,000","$90,000,000 "
Super Mario Bros. 2 / Super Mario USA,1988,NES,"7,460,000","$400,000,000 "
Super Mario All-Stars,1993,SNES,"10,550,000","$900,000,000 "
Super Mario Bros. DX,1999,GBC,"5,070,000","$150,000,000 "
Super Mario Advance,2001,GBA,"5,570,000","$180,000,000 "
Famicom Mini Series: Super Mario Bros. 2,2004,GBA,"365,456","$7,000,000 "
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,"2,240,000","$70,000,000 "
NES Classic Edition,2016,NES,"3,600,000","$220,000,000 "
Super Mario Bros. 3,1988,All Consoles,"40,820,000","$3,115,000,000 "
Super Mario Bros. 3,1988,NES,"18,000,000","$1,700,000,000 "
Super Mario Bros. 3,2007,Wii (VC),"1,000,000","$5,000,000 "
Super Mario Advance 4: Super Mario Bros. 3,2003,GBA,"5,430,000","$220,000,000 "
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,"2,240,000","$70,000,000 "
NES Classic Edition,2016,NES,"3,600,000","$220,000,000 "
Super Mario Land,1989,All Consoles,"18,371,000","$423,000,000 "
Super Mario Land,1989,GB,"18,140,000","$422,000,000 "
Super Mario Land,2011,3DS (VC),"231,000","$1,000,000 "
Super Mario World,1990,All Consoles,"31,943,000","$2,453,000,000 "
Super Mario World,1990,SNES,"20,610,000","$1,700,000,000 "
Super Mario Advance 2: Super Mario World,2001,GBA,"5,690,000","$330,000,000 "
Super Mario World,2006,Wii (VC),"363,000","$3,000,000 "
Super NES Classic Edition,2017,SNES,"5,280,000","$420,000,000 "
Super Mario Land 2,1992,All Consoles,"11,180,000","$480,000,000 "
Super Mario Land 2: 6 Golden Coins,1992,GB,"11,180,000","$480,000,000 "
Super Mario All-Stars,,All Consoles,"12,790,000","$900,000,000 "
Super Mario All-Stars,1993,SNES,"10,550,000","$830,000,000 "
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,"2,240,000","$70,000,000 "
Super Mario Land 3,1994,All Consoles,"5,190,000","$140,000,000 "
Wario Land: Super Mario Land 3,1994,GB,"5,190,000","$140,000,000 "
Super Mario World 2: Yoshi's Island,1995,All Consoles,"6,950,000","$510,000,000 "
Super Mario World 2: Yoshi's Island,1995,SNES,"4,120,000","$370,000,000 "
Super Mario Advance 3: Yoshi's Island,2002,GBA,"2,830,000","$140,000,000 "
Super Mario 64,1996,All Consoles,"32,310,000","$2,233,000,000 "
Super Mario 64,1996,N64,"11,910,000","$1,100,000,000 "
Super Mario 64 DS,2004,DS,"11,060,000","$590,000,000 "
Super Mario 64,2006,Wii (VC),"270,000","$3,000,000 "
Super Mario 3D All-Stars,2020,Switch,"9,070,000","$540,000,000 "
Super Mario Sunshine,2002,All Consoles,"15,380,000","$900,000,000 "
Super Mario Sunshine,2002,GCN,"6,310,000","$360,000,000 "
Super Mario 3D All-Stars,2020,Switch,"9,070,000","$540,000,000 "
New Super Mario Bros.,2006,All Consoles,"30,800,000","$1,800,000,000 "
New Super Mario Bros.,2006,DS,"30,800,000","$1,800,000,000 "
Super Mario Galaxy,2007,All Consoles,"24,300,621","$1,588,000,000 "
Super Mario Galaxy,2007,Wii,"12,800,000","$950,000,000 "
Super Mario 3D All-Stars,2020,Switch,"9,070,000","$540,000,000 "
Super Mario Galaxy,2025,Switch,"2,280,000","$91,000,000 "
Super Mario Galaxy + Super Mario Galaxy 2,2025,Switch,"150,621","$7,000,000 "
New Super Mario Bros. Wii,2009,All Consoles,"30,320,000","$2,300,000,000 "
New Super Mario Bros. Wii,2009,Wii,"30,320,000","$2,300,000,000 "
Super Mario Galaxy 2,2010,All Consoles,"9,980,621","$674,000,000 "
Super Mario Galaxy 2,2010,Wii,"7,410,000","$570,000,000 "
Super Mario Galaxy 2,2025,Switch,"2,420,000","$97,000,000 "
Super Mario Galaxy + Super Mario Galaxy 2,2025,Switch,"150,621","$7,000,000 "
Super Mario 3D Land,2011,All Consoles,"12,890,000","$610,000,000 "
Super Mario 3D Land,2011,3DS,"12,890,000","$610,000,000 "
New Super Mario Bros. 2,2012,All Consoles,"13,420,000","$510,000,000 "
New Super Mario Bros. 2,2012,3DS,"13,420,000","$510,000,000 "
New Super Mario Bros. U,2012,All Consoles,"24,620,000","$1,590,000,000 "
New Super Mario Bros. U,2012,Wii U,"5,820,000","$490,000,000 "
New Super Mario Bros. U Deluxe,2019,Switch,"18,800,000","$1,100,000,000 "
New Super Luigi U,2013,All Consoles,"3,070,000","$120,000,000 "
New Super Luigi U,2013,Wii U,"3,070,000","$120,000,000 "
Super Mario 3D World,2013,All Consoles,"19,360,000","$1,330,000,000 "
Super Mario 3D World,2013,Wii U,"5,890,000","$520,000,000 "
Super Mario 3D World + Bowser's Fury,2021,Switch,"13,470,000","$810,000,000 "
Super Mario Maker,2015,All Consoles,"7,780,000","$390,000,000 "
Super Mario Maker,2015,Wii U,"4,020,000","$240,000,000 "
Super Mario Maker for Nintendo 3DS,2016,3DS,"3,760,000","$150,000,000 "
Super Mario Odyssey,2017,All Consoles,"30,270,000","$1,800,000,000 "
Super Mario Odyssey,2017,Switch,"30,270,000","$1,800,000,000 "
Super Mario Maker 2,2019,All Consoles,"8,420,000","$510,000,000 "
Super Mario Maker 2,2019,Switch,"8,420,000","$510,000,000 "
Super Mario Bros. Wonder,2023,All Consoles,"17,150,000","$1,000,000,000 "
Super Mario Bros. Wonder,2023,Switch,"17,150,000","$1,000,000,000 "
Super Mario Bros. Wonder + Meetup in Bellabel Park,2026,Switch 2,,
Total sales,,All Consoles,"459,665,077","$27,325,300,000 "
