FDI outflows in 2024 ($M),Country,ABBR
266367,U.S.,????
204380,Japan,????
162780,China,????
108598,Luxembourg,????
87247,Hong Kong,????
86044,Canada,????
59451,British Virgin Islands,????
55257,Singapore,????
54730,Netherlands,????
49235,Spain,????
48589,South Korea,????
40950,France,????
38525,Germany,????
37040,Italy,????
31979,Taiwan,????
27369,Sweden,????
27237,Cayman Islands,????
25297,United Kingdom,????
24932,Ireland,????
23782,India,????
23399,UAE,????
22046,Saudi Arabia,????
14069,Australia,????
13266,enmark,??
12588,Austria,????
12427,Brazil,????
11691,Russia,????
10478,Israel,????
10317,Kuwait,????
9703,Indonesia,????
8317,Czechia,????
8151,Thailand,????
7821,Portugal,????
7399,Malaysia,????
5939,TŸrkiye,????
5736,Mexico,????
5415,Finland,????
4826,Hungary,????
4611,Colombia,????
2935,Belgium,????
2880,Philippines,????
2690,Argentina,????
2618,Greece,????
2603,Venezuela,????
2514,Norway,????
2510,Croatia,????
2431,Chile,????
2166,Poland,????
1563,Qatar,????
1430,Macau,????
